Dateiname,Unbekannte_Wörter,Wortfragmente,Wortanzahl,Entscheidung,Unbekannte_Wörter_Anzahl,Wortfragmente_Anzahl,Dateigröße_Bytes
630909 — HCO Bulletin — Repetitive Rudiments and Repetitive Prepchecking  [B143-001].txt,1.16%,0.00%,1033,Geeignet,12,0,5720
840225 Issue 2 — HCO Bulletin — Mandatory CSing Checklist - Cancelled  [B062-032].txt,6.37%,1.12%,267,Ungeeignet,17,3,1561
600411 — HCO Bulletin — ACC TR  [B036-068].txt,3.24%,0.00%,340,Geeignet,11,0,2069
590907 — HCO Bulletin — When Is a Process Flat  [B133-057].txt,1.51%,0.33%,598,Geeignet,9,2,3180
590508 — HCO Bulletin — HAS Co-Audit  [B023-076].txt,2.62%,0.35%,573,Geeignet,15,2,3438
820416 — HCO Bulletin — More on PTS Handling  [B179-001].txt,1.43%,0.24%,841,Geeignet,12,2,4663
"780919 Issue 2R — HCO Bulletin — End of Endless Drug Rundowns Repair List, The  [B079-013].txt",2.59%,0.00%,579,Geeignet,15,0,3347
591005 — HCO Bulletin — Universe Processes  [B133-059].txt,9.04%,0.49%,1217,Ungeeignet,110,6,7182
710717 — HCO Bulletin — Out of Valence  [B045-013].txt,3.04%,0.51%,395,Geeignet,12,2,2167
"781231 Issue 3 — HCO Bulletin — Educating the Potential Trouble Source, the First Step Toward Handling - PTS CS-1  [B102-037].txt",3.93%,0.35%,1449,Geeignet,57,5,8391
710904 Issue 1 — HCO Bulletin — Faults in Word Clearing Commonly Met  [B011-151].txt,5.39%,0.16%,631,Ungeeignet,34,1,3844
710706 Issue 2 — HCO Bulletin — Clay Demo Errors  [B011-109].txt,9.21%,0.33%,304,Ungeeignet,28,1,1798
600428 — HCO Bulletin — Books Are Dissemination  [B036-077].txt,3.44%,0.26%,2325,Geeignet,80,6,13580
830808 — HCO Bulletin — Cancellation of Issues on TRs  [B057-023].txt,11.11%,0.47%,423,Ungeeignet,47,2,2505
720229RA — HCO Bulletin — False TA Checklist  [B053-029].txt,6.83%,0.33%,615,Ungeeignet,42,2,3434
620405 — HCO Bulletin — CCHs - Auditing Attitude  [B002-019].txt,6.28%,0.33%,1799,Ungeeignet,113,6,10294
720430 Issue 2 — HCO Bulletin — Expanded Dianetics Handling of Intentions  [B012-098].txt,5.09%,0.93%,216,Ungeeignet,11,2,1354
"840303 — HCO Bulletin — Comm Cycle in Solo Auditing, The  [B057-050].txt",1.61%,0.20%,991,Geeignet,16,2,5769
690522 — HCO Bulletin — Notes on CS Instructions  [B042-075].txt,2.68%,0.00%,897,Geeignet,24,0,5041
"720224 Issue 1 — HCO Bulletin — Student Examiner Checks the Student, The  [B012-195].txt",6.31%,0.90%,111,Ungeeignet,7,1,730
650513 — HCO Bulletin — List 6EW  [B168-026].txt,5.33%,0.59%,507,Ungeeignet,27,3,3281
720102 — HCO Bulletin — WC1 Comes First  [B012-002].txt,3.93%,0.26%,382,Geeignet,15,1,2099
600420 — HCO Bulletin — Success in Australia  [B139-068].txt,10.00%,0.00%,100,Ungeeignet,10,0,660
701008 — HCO Bulletin — Persistent FN  [B058-007].txt,1.39%,0.75%,933,Geeignet,13,7,4923
711120 — HCO Bulletin — HAS Specialist Auditing Program (Revised)  [B011-229].txt,14.06%,0.92%,434,Ungeeignet,61,4,2809
610616 — HCO Bulletin — CCHs and Routine 1  [B001-056].txt,8.06%,0.65%,310,Ungeeignet,25,2,1810
640413 — HCO Bulletin — Tone Arm Action  [B168-018].txt,2.04%,0.20%,3436,Geeignet,70,7,18878
610417 — HCO Bulletin — Training Drills Modernized  [B144-010].txt,0.93%,0.00%,2371,Geeignet,22,0,13950
730120RA — HCO Bulletin Attachment — PC Examiner Red Tag - Log Book  [B097-005].txt,28.66%,14.01%,157,Ungeeignet,45,22,1061
660205 — HCO Bulletin — S & D Warning  [B041-004].txt,2.47%,0.00%,810,Geeignet,20,0,4519
840609R — HCO Bulletin Attachment — Auditing the False Purpose Rundown - Chart  [B057-060].txt,0.00%,0.00%,0,Geeignet,0,0,0
680816 — HCO Bulletin — Remedy ''New Style'' as Applied to Psychologists  [B041-057].txt,4.94%,0.00%,263,Geeignet,13,0,1583
711120 — HCO Bulletin — HAS Specialist Auditing Program (Revised)  [B047-005].txt,13.04%,1.37%,437,Ungeeignet,57,6,2732
681210 — HCO Bulletin — Correction  [B158-016].txt,9.71%,2.91%,103,Ungeeignet,10,3,611
720621 Issue 3 — HCO Bulletin — Method 7  [B012-132].txt,2.54%,0.00%,315,Geeignet,8,0,1794
"600105 — HCO Bulletin — Idea for Promotion, An  [B024-003].txt",2.03%,0.68%,148,Geeignet,3,1,841
670119 — HCO Bulletin — Manifestations of Engrams and Secondaries Further Defined  [B069-001].txt,2.19%,0.55%,548,Geeignet,12,3,3470
810121 — HCO Bulletin — Study and Education - Tape Amendment  [B056-067].txt,1.59%,0.00%,252,Geeignet,4,0,1420
710731 Issue 2 — HCO Bulletin — Solo CSing  [B011-124].txt,3.94%,0.00%,127,Geeignet,5,0,805
570517 — HCO Training Bulletin — Definitions  [B021-022].txt,7.69%,0.00%,104,Ungeeignet,8,0,682
700730 — HCO Bulletin — Personnel Future Potential Key Questions  [B010-085].txt,7.45%,0.37%,1074,Ungeeignet,80,4,6518
691123 Issue 3 — HCO Bulletin — Student Rescue Intensive  [B075-089].txt,5.58%,0.17%,573,Ungeeignet,32,1,3442
711212 Issue 13 — HCO Bulletin — Cramming Interns  [B011-266].txt,3.15%,0.25%,794,Geeignet,25,2,4625
630625 — HCO Bulletin — Routine 2H - ARC Breaks by Assessment  [B003-029].txt,4.19%,0.79%,764,Geeignet,32,6,4342
591118 — HCO Bulletin — 'Congratulations HASI - South Africa...'  [B133-068].txt,6.85%,0.24%,409,Ungeeignet,28,1,2650
790131 — HCO Bulletin — Mood Drills  [B165-014].txt,6.08%,0.11%,937,Ungeeignet,57,1,5347
680917 — HCO Bulletin — Overrun Process  [B008-045].txt,6.08%,0.55%,181,Ungeeignet,11,1,999
620830 — HCO Bulletin — Missed Withhold Handling  [B029-033].txt,1.41%,0.00%,920,Geeignet,13,0,5434
610321 — HCO Bulletin — Script of a Model Session  [B135-003].txt,2.16%,0.00%,1432,Geeignet,31,0,8346
"710701 Issue 1 — HCO Bulletin — Three Types of Word Clearing, The  [B011-101].txt",6.17%,0.44%,227,Ungeeignet,14,1,1361
811030 — HCO Bulletin — CS Series 114 Cancelled  [B056-084].txt,7.17%,0.78%,516,Ungeeignet,37,4,2988
700619 — HCO Bulletin — CS Q and A  [B010-062].txt,5.16%,0.37%,1085,Ungeeignet,56,4,5867
820413 — HCO Bulletin — Still Needle and Confessionals  [B057-004].txt,0.50%,0.25%,402,Geeignet,2,1,2181
601020 — HCO Bulletin — Supplementary Bulletin  [B036-157].txt,6.43%,0.71%,140,Ungeeignet,9,1,895
721206 — HCO Bulletin — Hi Lo TA Assessment for Integrity Processing  [B012-200].txt,4.37%,2.09%,526,Geeignet,23,11,2914
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B070-006].txt,0.48%,0.00%,210,Geeignet,1,0,1179
621001 — HCO Bulletin — 3GA - Listing by Tiger Buttons - 114 New Lines for Listing  [B029-043].txt,1.82%,0.09%,1151,Geeignet,21,1,6338
700828 — HCO Bulletin — HC Outpoint-Pluspoint Lists R  [B076-036].txt,15.77%,5.06%,869,Ungeeignet,137,44,5263
721107 Issue 1 — HCO Bulletin — Correction Lists  [B050-058].txt,6.09%,0.96%,312,Ungeeignet,19,3,1787
710306 Issue 2 — HCO Bulletin — Long CSes  [B142-013].txt,3.18%,0.50%,598,Geeignet,19,3,3194
780905 — HCO Bulletin — Anatomy of a Service Facsimile  [B102-015].txt,3.28%,0.63%,1433,Geeignet,47,9,8390
710430 — HCO Bulletin — Auditing Comm Cycle  [B044-054].txt,4.31%,0.00%,232,Geeignet,10,0,1417
670119 — HCO Bulletin — Manifestations of Engrams and Secondaries Further Defined  [B007-003].txt,1.46%,0.36%,549,Geeignet,8,2,3431
820331R — HCO Bulletin — Basic Study Missed Withhold  [B106-006].txt,5.26%,0.48%,209,Ungeeignet,11,1,1275
851024 — HCO Bulletin — Trouble Shooting the Purification Rundown PC  [B057-083].txt,2.59%,0.07%,1508,Geeignet,39,1,9532
610302 — HCO Bulletin — Formula 20  [B085-005].txt,1.74%,0.00%,115,Geeignet,2,0,705
691105 Issue 5 — HCO Bulletin — LX3 (Attitudes)  [B009-159].txt,3.49%,2.33%,86,Geeignet,3,2,661
"711025 Issue 2R — HCO Bulletin — Special Drug Rundown - Note, The  [B012-134].txt",9.04%,0.00%,177,Ungeeignet,16,0,1046
"680531 — HCO Bulletin — Key Rules of Listing and Nulling, The  [B070-004].txt",1.80%,0.35%,1995,Geeignet,36,7,11117
820307 — HCO Bulletin — Confessionals Included in Expanded Grade II Processes  [B064-006].txt,6.19%,1.03%,194,Ungeeignet,12,2,1251
580121 — HCO Bulletin — MEST Clear Procedure  [B022-006].txt,4.72%,0.38%,530,Geeignet,25,2,3112
711125 — HCO Bulletin — Setting Up and Using a Tape Player  [B047-013].txt,1.37%,0.12%,803,Geeignet,11,1,4563
630722 — HCO Bulletin — You Can Be Right  [B087-003].txt,0.40%,0.05%,1981,Geeignet,8,1,11471
XXXXXX — HCO Bulletin — Blank  [B008-071].txt,0.00%,0.00%,0,Geeignet,0,0,0
710624 — HCO Bulletin — Word Clearing  [B044-087].txt,3.75%,0.00%,320,Geeignet,12,0,1843
720905 — HCO Bulletin — High Crime Checkouts  [B012-154].txt,2.65%,0.83%,1207,Geeignet,32,10,6643
610417 — HCO Bulletin — Training Drills Modernized  [B001-031].txt,2.51%,0.04%,2389,Geeignet,60,1,14086
720831 Issue 2 — HCO Bulletin — Hi-Lo TA Assessment for Confessionals  [B012-150].txt,4.95%,1.65%,545,Geeignet,27,9,2958
670913 — HCO Bulletin — Remedy B  [B041-030].txt,2.93%,0.33%,307,Geeignet,9,1,1712
710906 — HCO Bulletin — Correct Sequence - Qualifications of Word Clearers  [B011-155].txt,1.21%,0.30%,660,Geeignet,8,2,3771
711024 — HCO Bulletin — False TA  [B011-211].txt,2.97%,0.31%,1921,Geeignet,57,6,10014
"730124 Issue 1 — HCO Bulletin — PC Examiner's E-Meter, The  [B051-006].txt",2.78%,0.00%,324,Geeignet,9,0,1857
"601026 — HCO Bulletin — Auditing Win, An  [B027-077].txt",2.89%,0.41%,242,Geeignet,7,1,1447
610309 — HCO Bulletin — Command Sheet - Prehavingness Scale  [B001-017].txt,8.06%,0.81%,496,Ungeeignet,40,4,3399
620807 — HCO Bulletin — Running CCHs  [B029-028].txt,2.42%,0.00%,289,Geeignet,7,0,1580
"600908 — HCO Bulletin — Presessions of the 1st Saint Hill ACC, The  [B036-132].txt",4.76%,0.79%,756,Geeignet,36,6,4717
610407 — HCO Bulletin — Assessing for Goals and Terminals by Elimination  [B037-023].txt,3.35%,0.22%,448,Geeignet,15,1,2451
620810 — HCO Bulletin — How It Feels to Go Clear  [B029-029].txt,1.59%,0.72%,690,Geeignet,11,5,3733
700310 — HCO Bulletin — List of Perceptics - Dianetics Bulletin  [B043-022].txt,1.83%,0.46%,218,Geeignet,4,1,1878
630604 — HCO Bulletin — Checking Out the Joburg - Tips to Sec Check Instructors  [B153-022].txt,5.93%,0.44%,455,Ungeeignet,27,2,2932
611102 — HCO Bulletin — Training CCHs  [B161-026].txt,8.76%,0.69%,1164,Ungeeignet,102,8,7153
631001 — HCO Bulletin — Training Cycles  [B039-055].txt,5.35%,0.55%,542,Ungeeignet,29,3,3248
"640907 — HCO Bulletin — PTPs, Overts and ARC Breaks  [B147-012].txt",1.16%,0.00%,1719,Geeignet,20,0,9369
690627R — HCO Bulletin — Q & A  [B042-103].txt,7.43%,0.66%,1507,Ungeeignet,112,10,8655
"690207R — HCO Bulletin — Body Communication Process (Corrected), The  [B051-033].txt",2.70%,0.21%,964,Geeignet,26,2,5849
600804 — HCO Bulletin — Regimen 1  [B036-117].txt,4.28%,1.15%,957,Geeignet,41,11,5606
801118 Issue 2 — HCO Bulletin — Case Supervisor Correction List - Word List  [B056-059].txt,4.32%,0.39%,509,Geeignet,22,2,3281
690424 — HCO Bulletin — Dianetic Use  [B151-004].txt,1.24%,0.06%,1698,Geeignet,21,1,9940
590819 — HCO Bulletin — How to Handle Work  [B084-018].txt,0.46%,0.00%,647,Geeignet,3,0,3249
590124 — HCO Bulletin — Scientology Axiom 58  [B133-005].txt,5.33%,0.00%,75,Ungeeignet,4,0,558
850322 — HCO Bulletin — Full Danger Condition Handling  [B057-071].txt,1.70%,0.30%,3350,Geeignet,57,10,19119
640304 — HCO Bulletin — Class II Model Session  [B004-005].txt,3.88%,0.00%,1030,Geeignet,40,0,5844
680805 — HCO Bulletin — Change of Commands - Overt-Motivator Sequence  [B041-054].txt,0.47%,0.47%,211,Geeignet,1,1,1181
580402 — HCO Bulletin — ARC in Comm Course  [B022-033].txt,2.13%,0.35%,282,Geeignet,6,1,1581
700731 — HCO Bulletin — Hubbard Consultant - Listen and Two-Way Communication Drills  [B043-081].txt,2.67%,0.40%,748,Geeignet,20,3,4536
710816 Issue 2 — HCO Bulletin — Training Drills Modernized  [B095-005].txt,2.43%,0.46%,2839,Geeignet,69,13,16786
690519 — HCO Bulletin — Drug and Alcohol Cases - Prior Assessing  [B075-041].txt,1.35%,0.00%,519,Geeignet,7,0,2913
690710 Issue 2 — HCO Bulletin — Exteriorization Remedy  [B042-105].txt,9.09%,1.14%,88,Ungeeignet,8,1,580
600826 — HCO Bulletin — Regimen Two  [B141-041].txt,2.39%,0.00%,418,Geeignet,10,0,2382
710914 Issue 5 — HCO Bulletin — Solo Auditors Rights  [B045-047].txt,3.39%,0.39%,1268,Geeignet,43,5,6747
800622 — HCO Bulletin — Int RD Correction List Words  [B082-017].txt,4.52%,0.45%,442,Geeignet,20,2,2891
671008 — HCO Bulletin — Clear Checks and Re-Clear Checks  [B041-032].txt,4.24%,1.03%,872,Geeignet,37,9,4731
591016 — HCO Bulletin — List of Association Secretaries and HCO Personnel  [B023-227].txt,10.17%,1.15%,521,Ungeeignet,53,6,3470
651130 — HCO Bulletin — Library Record of Levels  [B156-004].txt,2.86%,0.33%,7179,Geeignet,205,24,45635
700126 — HCO Bulletin — Re - R3R  [B010-009].txt,2.30%,0.00%,435,Geeignet,10,0,2367
"710305 — HCO Bulletin — Fantastic New HGC Line, The  [B044-018].txt",3.58%,0.44%,2516,Geeignet,90,11,13303
"610607 — HCO Bulletin — Academy Schedule, Clarification Of  [B037-039].txt",7.39%,0.75%,1204,Ungeeignet,89,9,6821
720207 Issue 2 — HCO Bulletin — Method 3 Word Clearing by the Student's Twin  [B012-021].txt,4.76%,0.16%,630,Geeignet,30,1,3577
850501 — HCO Bulletin — Honesty and Case Gain  [B108-002].txt,4.64%,0.22%,453,Geeignet,21,1,2597
631017 — HCO Technical Form — R-2C Slow Assessment by Dynamics  [B003-076].txt,12.42%,4.67%,1264,Ungeeignet,157,59,10694
591203 — HCO Bulletin — Use of the American Personality - Oxford Capacity Analyses in Determining Processes to Be Run  [B139-020].txt,15.10%,1.75%,629,Ungeeignet,95,11,4057
650727 — HCO Bulletin — Auditing by Lists  [B005-022].txt,3.16%,0.20%,507,Geeignet,16,1,2875
801112 Issue 1R — HCO Bulletin — Case Supervisor Correction List  [B079-012].txt,7.95%,0.33%,1534,Ungeeignet,122,5,8990
"720610 Issue 6 — HCO Bulletin — L3B Rundown - Dianetics Track Repair, The  [B049-058].txt",9.16%,0.58%,513,Ungeeignet,47,3,2888
620721 — HCO Bulletin — Instant Reads  [B002-049].txt,1.31%,0.00%,229,Geeignet,3,0,1333
590203 — HCO Bulletin — Flattening a Process  [B133-007].txt,10.96%,1.37%,73,Ungeeignet,8,1,440
730108 — HCO Bulletin — Study and Education - Tape Amendment  [B143-013].txt,0.88%,1.32%,228,Geeignet,2,3,1309
591022 — HCO Bulletin — Secrets of Success  [B133-065].txt,3.43%,0.27%,1109,Geeignet,38,3,6375
690427 Issue 2 — HCO Bulletin — Dianetic Failures  [B075-025].txt,1.64%,0.00%,244,Geeignet,4,0,1430
720616 — HCO Bulletin — Auditor's Rights Modified  [B012-127].txt,3.33%,0.53%,570,Geeignet,19,3,3179
"650929 Issue 2 — HCO Bulletin — Continuing Overt Act, The  [B119-004].txt",2.52%,0.11%,914,Geeignet,23,1,5188
"590317 — HCO Bulletin — Insanity Questionnaire, An  [B113-004].txt",3.20%,0.00%,219,Geeignet,7,0,1418
690426 — HCO Bulletin — Bad Indicators  [B075-022].txt,3.31%,0.41%,242,Geeignet,8,1,1610
"571102RA — HCO Bulletin — Objective Rundown, An  [B053-017].txt",3.51%,0.21%,484,Geeignet,17,1,3002
"621206 — HCO Bulletin — R2-10, R2-12, 3GAXX-Data - The Zero A Steps and Purpose of Processes  [B038-074].txt",4.29%,2.18%,1609,Geeignet,69,35,8553
"690524 — HCO Bulletin — Difficult Case, The  [B042-078].txt",1.51%,0.00%,464,Geeignet,7,0,2593
640710 — HCO Bulletin — Overts - Order of Effectiveness in Processing  [B147-006].txt,1.91%,0.51%,1361,Geeignet,26,7,7796
560920 — HCO Processing Sheet — HCO Processing Sheet  [B033-018].txt,1.80%,0.09%,2333,Geeignet,42,2,13352
681109 — HCO Bulletin — Clearing Commands - All Levels  [B070-018].txt,2.94%,0.00%,102,Geeignet,3,0,612
561114 — HCO Bulletin — Reorganization Washington Operation  [B020-028].txt,6.43%,0.38%,1307,Ungeeignet,84,5,8049
561015 — HCO Bulletin — Summary Research Project  [B144-001].txt,4.03%,0.00%,248,Geeignet,10,0,1543
590723 — HCO Bulletin — Field Activities  [B023-118].txt,1.24%,0.23%,1286,Geeignet,16,3,7263
610623 — HCO Bulletin — Running CCHs  [B028-035].txt,3.49%,0.00%,229,Geeignet,8,0,1251
790821 — HCO Bulletin — Twinning  [B165-024].txt,1.74%,0.10%,4186,Geeignet,73,4,24575
840120 — HCO Bulletin — HRD Precepts Assessment List  [B107-005].txt,3.72%,0.27%,376,Geeignet,14,1,2312
660205 Issue 2 — HCO Bulletin — ''Letting the PC Itsa'' - The Properly Trained Auditor  [B120-002].txt,5.68%,0.29%,1039,Ungeeignet,59,3,5706
"600425 — HCO Bulletin — Good Session, A  [B139-071].txt",1.11%,0.44%,450,Geeignet,5,2,2397
600211 — HCO Bulletin — Create and Confront  [B168-025].txt,2.18%,0.00%,964,Geeignet,21,0,5707
600412 — HCO Bulletin — Hubbard Apprentice Scientologist  [B139-065].txt,6.72%,0.42%,238,Ungeeignet,16,1,1614
710908 — HCO Bulletin — Birth Control Pills  [B045-043].txt,2.48%,0.00%,161,Geeignet,4,0,991
630904 — HCO Bulletin — Assessment TR  [B003-060].txt,5.63%,0.68%,444,Ungeeignet,25,3,2818
621204 — HCO Bulletin — Routine 2-12 - List One - Issue 3 - The Scientology List  [B002-091].txt,11.74%,0.40%,247,Ungeeignet,29,1,1775
630308 — HCO Bulletin — Use of the Big Middle Rudiments  [B153-004].txt,2.51%,0.72%,279,Geeignet,7,2,1600
600805 — HCO Bulletin — Sticking to the Rundown - Or - When All Else Fails Try Doing What Ron Says  [B036-118].txt,2.90%,0.19%,518,Geeignet,15,1,2841
591228 — HCO Bulletin — Scientology in Singapore  [B133-073].txt,3.57%,0.00%,308,Geeignet,11,0,1989
710319 — HCO Bulletin — List L1C  [B044-032].txt,4.80%,0.28%,354,Geeignet,17,1,2297
580125 — HCO Bulletin — Reviewing Week's Profiles  [B022-010].txt,2.94%,0.00%,102,Geeignet,3,0,570
600307 — HCO Bulletin — Why Pin Time  [B024-068].txt,3.23%,0.27%,742,Geeignet,24,2,4337
"700824 — HCO Bulletin — Recommended Program for Rehabilitation of Drug and Alcohol Cases, A  [B010-102].txt",10.86%,0.93%,1621,Ungeeignet,176,15,9686
570603 — HCO Bulletin — Explanation of Aberrative Character of Radiation  [B021-027].txt,1.93%,1.16%,259,Geeignet,5,3,1558
590228 — HCO Bulletin — Clearing Commands  [B133-017].txt,4.17%,0.00%,96,Geeignet,4,0,606
710619 Issue 3 — HCO Bulletin — Study Definitions for the TR Course  [B011-085].txt,1.26%,0.24%,1271,Geeignet,16,3,7669
690511 — HCO Bulletin — Meter Trim Check  [B042-060].txt,2.80%,1.40%,214,Geeignet,6,3,1217
620927 — HCO Bulletin — Dream Come True  [B002-069].txt,9.09%,0.00%,99,Ungeeignet,9,0,599
711024RA — HCO Bulletin — False TA  [B058-011].txt,3.73%,0.18%,2169,Geeignet,81,4,11348
700602 — HCO Bulletin — Floating Needles  [B076-022].txt,3.74%,0.00%,187,Geeignet,7,0,1072
600204 — HCO Bulletin — Subject Matter for Infraction Sheets - All Processional Level Scientology Courses  [B036-028].txt,7.28%,0.00%,151,Ungeeignet,11,0,978
710519 — HCO Bulletin — High TAs are Overruns + Int RD Handling  [B078-036].txt,3.88%,0.17%,1211,Geeignet,47,2,6206
600505 — HCO Bulletin — Help  [B036-081].txt,0.93%,0.11%,2697,Geeignet,25,3,15404
700619 Issue 2 — HCO Bulletin — Chart of Human Evaluation  [B010-063].txt,6.59%,0.16%,622,Ungeeignet,41,1,3532
710719 — HCO Bulletin — Interns  [B055-023].txt,2.74%,0.88%,1022,Geeignet,28,9,5572
720409 Issue 07 — HCO Bulletin — Clearing List Words in Scientology - CS Series 53RRR  [B049-013].txt,7.48%,0.00%,254,Ungeeignet,19,0,1603
700620 — HCO Bulletin — Summary Report  [B094-017].txt,3.21%,0.00%,187,Geeignet,6,0,1223
601006 — HCO Bulletin — Thirty-Six New Presessions  [B114-036].txt,4.26%,0.85%,1175,Geeignet,50,10,7641
651105 — HCO Bulletin — Five-Way Bracket on Help  [B031-030].txt,2.74%,0.00%,73,Geeignet,2,0,464
640629 — HCO Bulletin — Central Org and Field Auditor Targets  [B004-017].txt,3.01%,0.46%,2156,Geeignet,65,10,11721
610406 — HCO Bulletin — SOP Goals - Goals Assessment Problems Sorted Out  [B161-008].txt,1.89%,0.00%,634,Geeignet,12,0,3497
711023 Issue 4 — HCO Bulletin — Master Personnel Programming Tally Sheet  [B011-208].txt,15.84%,1.98%,101,Ungeeignet,16,2,679
"690519 — HCO Bulletin — Health Form, Use Of - A Brief Description of Auditing  [B042-070].txt",4.28%,0.32%,1237,Geeignet,53,4,6812
671128 — HCO Bulletin — Key S & D Question  [B069-009].txt,4.26%,0.00%,47,Geeignet,2,0,293
